Id,N_victimas,Fecha,Año,Mes,Dia de semana,Hora,Lugar_del_hecho,Tipo_de_calle,Calle,Cruce,Comuna,Xy (caba),Longitud,Latitud,Participantes,Victima_x,Acusado,Rol,Victima_y,Sexo,Edad
2016-0055,1,2016-04-25,2016,4,Lunes,20,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,"CASTILLA, RAMON, MARISCAL",True,14.0, 105787.74102401 105502.98340149,-58.40021959,-34.57964781,PEATON-CARGAS,PEATON,CARGAS,PEATON,PEATON,MASCULINO,79.0
2016-0056,1,2016-04-26,2016,4,Jueves,4,AV LUIS MARIA CAMPOS 30,AVENIDA,"CAMPOS, LUIS M. AV.",False,14.0, 103094.06446966 105842.29634122,-58.42957885,-34.57660058,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,26.0
2016-0058,1,2016-05-04,2016,5,Miercoles,14,LIMA 1471,CALLE,LIMA,False,1.0, 107411.76356149 100408.31441284,-58.38247542,-34.62556293,PEATON-MOTO,PEATON,MOTO,PEATON,PEATON,FEMENINO,57.0
2016-0059,1,2016-05-08,2016,5,Domingo,16,PASAJE CIUDADELA Y LIMA OESTE,CALLE,CIUDADELA,True,1.0, 107434.83290791 100217.70308007,-58.38222219,-34.62728101,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,PEATON,MASCULINO,37.0
2016-0064,1,2016-05-14,2016,5,Sabado,18,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,"JUSTO, JUAN B. AV.",True,10.0, 97106.70264812 99970.19547024,-58.49485242,-34.62953445,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,PEATON,MASCULINO,20.0
2016-0065,1,2016-05-20,2016,5,Viernes,14,AV GAONA Y ESPINOSA,AVENIDA,GAONA AV.,True,6.0, 101010.75965434 102062.18185970,-58.45227946,-34.61068024,PEATON-AUTO,PEATON,AUTO,PEATON,PEATON,MASCULINO,20.0
2016-0067,1,2016-05-21,2016,5,Sabado,17,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,"DE LA TORRE, LISANDRO",True,8.0, 98052.13008621 94912.60873025,-58.48455411,-34.6751276,MOTO-PASAJEROS,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30.0
2016-0068,1,2016-05-22,2016,5,Domingo,22,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",True,2.0, 106673.12856878 104998.99234220,-58.39056593,-34.58418569,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,58.0
2016-0069,1,2016-05-23,2016,5,Lunes,3,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,ENTRE RIOS AV.,True,3.0, 106612.54991859 100244.75667446,-58.39118948,-34.62704273,AUTO-CARGAS,AUTO,CARGAS,CONDUCTOR,AUTO,MASCULINO,30.0
2016-0073,1,2016-06-11,2016,6,Sabado,15,MAGARIÑOS CERVANTES 3900,CALLE,"MAGARI?OS CERVANTES, A.",False,10.0, 97531.24792840 101000.15957301,-58.49021952,-34.62025108,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MOTO,MASCULINO,23.0
2016-0074,1,2016-06-12,2016,6,Domingo,6,AV GRAL PAZ Y RODOLFO SCAPINO,AVENIDA,"PAZ, GRAL. AV.",True,8.0, 96731.44252651 94668.88351657,-58.49896559,-34.67732118,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,AUTO,MASCULINO,60.0
2016-0075,1,2016-06-12,2016,6,Domingo,23,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,True,8.0, 98963.32962830 95620.61360192,-58.47461076,-34.66874679,PEATON-AUTO,PEATON,AUTO,PEATON,PEATON,MASCULINO,42.0
2016-0076,1,2016-06-13,2016,6,Lunes,16,AV SAN MARTIN Y CAMARONES,AVENIDA,SAN MARTIN AV.,True,15.0, 100109.22264405 102851.86942760,-58.46210891,-34.60356211,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,PEATON,FEMENINO,53.0
2016-0077,1,2016-06-13,2016,6,Lunes,21,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",True,1.0, 108532.37320501 102648.40418720,-58.3702777,-34.60536123,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,PEATON,FEMENINO,51.0
2016-0078,1,2016-06-13,2016,6,Lunes,23,AV BELGRANO Y AV JUJUY,AVENIDA,BELGRANO AV.,True,3.0, 105354.74322032 101621.63182427,-58.40491455,-34.6146383,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MOTO,MASCULINO,30.0
2016-0079,1,2016-06-16,2016,6,Martes,17,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,AVENIDA,DEL LIBERTADOR AV.,True,13.0, 100757.94817512 108943.96108781,-58.45504154,-34.54864492,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,AUTO,FEMENINO,51.0
2016-0080,1,2016-06-18,2016,6,Sabado,6,AV GRAL PAZ Y AV RIVADAVIA,AVENIDA,"PAZ, GRAL. AV.",True,9.0, 93950.50587297 98883.37644525,-58.52927982,-34.63931752,AUTO-SD,AUTO,SD,CONDUCTOR,AUTO,MASCULINO,60.0
2016-0081,1,2016-06-22,2016,6,Miercoles,7,AV CRISOLOGO LARRALDE Y MACHAIN,AVENIDA,"LARRALDE, CRISOLOGO AV.",True,12.0, 97805.54034401 107789.89169078,-58.4872106,-34.55904606,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MOTO,MASCULINO,40.0
2016-0082,1,2016-06-27,2016,6,Lunes,18,AV LA PLATA 2384,AVENIDA,LA PLATA AV.,False,4.0, 103719.51591058 98555.13443768,-58.42273092,-34.64228803,PEATON-AUTO,PEATON,AUTO,PEATON,PEATON,MASCULINO,87.0
2016-0083,1,2016-06-28,2016,6,Jueves,20,AV JUAN B ALBERDI Y PUAN,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",True,6.0, 101413.41644585 100430.31523295,-58.44788671,-34.62539009,PEATON-MOTO,PEATON,MOTO,PEATON,PEATON,FEMENINO,76.0
2016-0084,1,2016-06-29,2016,6,Miercoles,22,CARLOS PELLEGRINI Y TUCUMAN,CALLE,"PELLEGRINI, CARLOS",True,1.0, 107539.54864414 103093.65031518,-58.38110563,-34.60135531,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,PEATON,MASCULINO,57.0
2016-0085,1,2016-06-29,2016,6,Miercoles,22,AVDA ITE FRANCISCO RABANAL & AVDA EREZCANO,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",True,4.0, 103621.92252760 96885.28433165,-58.42378834,-34.657341,MOTO-MOVIL,MOTO,OTRO,SD,MOTO,MASCULINO,40.0
2016-0086,1,2016-06-30,2016,6,Martes,16,AV OLIVERA Y RAMON FALCON,AVENIDA,OLIVERA AV.,True,10.0, 97801.31825511 99194.93911759,-58.48727942,-34.63652467,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,PEATON,MASCULINO,75.0
2016-0087,1,2016-07-02,2016,7,Sabado,0,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI Y AV CASEROS,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,False,1.0, 107762.62066736 100018.90176187,-58.37864583,-34.62907067,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,23.0
2016-0088,1,2016-07-11,2016,7,Lunes,15,CERETTI Y NUÑEZ,CALLE,CERETTI,True,12.0, 96492.89040317 106832.19475660,-58.5015175,-34.56767549,PEATON-AUTO,PEATON,AUTO,PEATON,PEATON,FEMENINO,70.0
2016-0089,1,2016-07-14,2016,7,Martes,6,AV LUGONES Y LA PAMPA,AUTOPISTA,"LUGONES, LEOPOLDO AV.",True,13.0, 102842.06561704 108587.10659007,-58.43233425,-34.55185825,PEATON-AUTO,PEATON,AUTO,PEATON,PEATON,MASCULINO,35.0
2016-0090,1,2016-07-14,2016,7,Martes,22,JERONIMO SALGUERO Y AV RIVADAVIA,AVENIDA,"SALGUERO, JERONIMO",True,5.0, 103997.04813615 102012.34139150,-58.41971993,-34.6111224,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,PEATON,MASCULINO,60.0
2016-0092,1,2016-07-15,2016,7,Viernes,11,AV GRAL PAZ Y AV LIBERTADOR ,AVENIDA,"PAZ, GRAL. AV.",True,13.0, 99620.34936816 110483.29286598,-58.46743471,-34.53476874,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MOTO,MASCULINO,24.0
2016-0093,1,2016-07-17,2016,7,Domingo,3,AV JUAN B ALBERDI Y EMILIO MITRE,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",True,6.0, 101804.61714036 100693.45218194,-58.44362126,-34.62301748,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,AUTO,MASCULINO,35.0
2016-0095,1,2016-07-23,2016,7,Sabado,6,MERCEDES Y AV GRAL MOSCONI,AVENIDA,MERCEDES,True,11.0, 95061.77375682 103748.74085597,-58.51713095,-34.59546519,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MOTO,MASCULINO,29.0
2016-0096,1,2016-07-25,2016,7,Lunes,7,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. KM. 2,3",AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,False,8.0, . .,-58.47433193007387,-34.66684950051973,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MOTO,MASCULINO,40.0
2016-0097,1,2016-07-26,2016,7,Jueves,18,SOLIS Y MEXICO,CALLE,SOLIS,True,1.0, 106687.13301820 101510.97040757,-58.39038605,-34.6156281,PEATON-AUTO,PEATON,AUTO,PEATON,PEATON,MASCULINO,80.0
2016-0098,1,2016-07-27,2016,7,Miercoles,16,AV SAN JUAN Y ALBERTI,AVENIDA,SAN JUAN AV.,True,3.0, 105765.97394356 100631.47718024,-58.40042405,-34.62356174,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MOTO,FEMENINO,43.0
2016-0099,1,2016-07-29,2016,7,Viernes,16,AV GRAL MOSCONI Y AV GRAL PAZ,AVENIDA,MOSCONI GENERAL AV.,True,11.0, 94486.28631712 103468.59928582,-58.52340614,-34.59798754,CARGAS-CARGAS,CARGAS,CARGAS,CONDUCTOR,CARGAS,MASCULINO,45.0
2016-0100,1,2016-08-03,2016,8,Miercoles,23,AV GRAL PAZ  Y DONADO,AVENIDA,"PAZ, GRAL. AV.",True,12.0, 97098.48468623 109019.96106626,-58.49491054,-34.54795581,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,57.0
2016-0101,1,2016-08-07,2016,8,Domingo,19,AV GRAL PAZ Y JORGE CHAVEZ,AVENIDA,"PAZ, GRAL. AV.",True,9.0, 93946.81673714 97681.68907836,-58.52932872,-34.65014993,SD-SD,SD,SD,SD,SD,MASCULINO,67.0
2016-0102,1,2016-08-10,2016,8,Miercoles,23,AV EVA PERON Y JOSE LEON SUAREZ,AVENIDA,"PERON, EVA AV.",True,9.0, 96625.80612216 95129.90776954,-58.50011639,-34.67316502,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MOTO,MASCULINO,29.0
2016-0104,1,2016-08-14,2016,8,Domingo,21,ZINNY Y AV SANTIAGO DE COMPOSTELA,AVENIDA,ZINNY,True,9.0, 99720.41444035 97007.69579491,-58.46635001,-34.65624369,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,21.0
2016-0105,1,2016-08-17,2016,8,Miercoles,0,AV FEDERICO LACROZE Y FRAGA,AVENIDA,"LACROZE, FEDERICO AV.",True,15.0, 100905.28580812 104982.19279501,-58.45343236,-34.58435809,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,PEATON,MASCULINO,19.0
2016-0106,1,2016-08-19,2016,8,Viernes,21,CARLOS PELLEGRINI Y AV DEL LIBERTADOR,AVENIDA,"PELLEGRINI, CARLOS",True,1.0, 107558.64146875 104433.48706482,-58.38090932,-34.58927731,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,PEATON,MASCULINO,38.0
2016-0107,1,2016-08-20,2016,8,Sabado,8,AUTOPISTA 9 DE JULIO SUR ALT AV MENDOZA,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,False,4.0, 108408.31858686 97219.56218484,-58.37157668,-34.65429986,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MOTO,MASCULINO,21.0
2016-0109,1,2016-08-24,2016,8,Miercoles,5,AUTOPISTA PERITO MORENO Y BARRAGAN,AUTOPISTA,AUTOPISTA PERITO MORENO,True,9.0, 94544.31344300 99185.28796442,-58.52280139,-34.63659934,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,CONDUCTOR,AUTO,FEMENINO,53.0
2016-0110,1,2016-08-24,2016,8,Miercoles,20,AV ALBERDI Y CARHUE,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",True,9.0, 95506.35959227 96696.89655626,-58.51232237,-34.6590353,PEATON-SD,PEATON,SD,PEATON,PEATON,MASCULINO,57.0
2016-0111,1,2016-08-25,2016,8,Martes,9,AUTOPISTA LEOPOLDO LUGONES Y LA PAMPA,AUTOPISTA,LUGONES,True,15.0, 98961.36262767 105838.76329094,-58.47461905,-34.57663634,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MOTO,MASCULINO,27.0
2016-0112,1,2016-08-27,2016,8,Sabado,4,AUTOPISTA 25 DE MAYO AUTOPISTA 1 SUR ARTURO FRONDIZI,AUTOPISTA,AUTOPISTA 25 DE MAYO,True,1.0, 107392.50226602 100712.59265582,-58.38268809,-34.62282019,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,24.0
2016-0113,1,2016-08-27,2016,8,Sabado,16,AV JUAN BAUTISTA ALBERDI Y GUARDIA NACIONAL,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",True,9.0, 96998.81124177 98183.20743664,-58.49603546,-34.64564271,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,PEATON,FEMENINO,60.0
2016-0114,1,2016-08-31,2016,8,Miercoles,11,SALGUERO 1410,CALLE,"SALGUERO, JERONIMO",False,14.0, 104111.05146856 103917.57944765,-58.41848605,-34.59394733,BICICLETA-CARGAS,BICICLETA,CARGAS,CICLISTA,BICICLETA,FEMENINO,55.0
2016-0115,1,2016-09-02,2016,9,Viernes,11,ARIAS Y TRONADOR,CALLE,ARIAS,True,12.0, 97608.87024259 108884.67029908,-58.48935041,-34.54917673,SD-CARGAS,SD,CARGAS,SD,SD,MASCULINO,40.0
2016-0116,1,2016-09-02,2016,9,Viernes,20,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,True,8.0, 101721.59002217 93844.25656649,-58.44451316,-34.68475866,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MOTO,MASCULINO,30.0
2016-0117,1,2016-09-03,2016,9,Sabado,15,AV DEL LIBERTADOR Y TAGLE,AVENIDA,DEL LIBERTADOR AV.,True,14.0, 105865.95849347 105162.71037105,-58.39936478,-34.58271474,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,AUTO,MASCULINO,43.0
2016-0118,1,2016-09-04,2016,9,Domingo,3,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI KM 2.9,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,False,1.0, 107696.68171812 100254.76268710,-58.37936704,-34.62694503,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,AUTO,MASCULINO,27.0
2016-0119,1,2016-09-04,2016,9,Domingo,6,CRISOLOGO LARRALDE Y AVDA TRIUNVIRATO,AVENIDA,"LARRALDE, CRISOLOGO AV.",True,12.0, 96944.69676081 107291.52292157,-58.49659234,-34.56353635,SD-SD,SD,SD,PASAJERO_ACOMPAÑANTE,SD,FEMENINO,51.0
2016-0122,1,2016-09-13,2016,9,Jueves,7,AV EVA PERON 4233,AVENIDA,"PERON, EVA AV.",False,9.0, 99150.75069529 97484.46650280,-58.47256391,-34.65194557,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,CICLISTA,BICICLETA,MASCULINO,49.0
